#Wave_number	#Intensity
2006.003906	3612.982666
2004.703125	3522.000732
2003.404297	3454.116211
2002.101563	3447.753174
2000.800781	3502.880127
1999.500000	3500.353027
1998.199219	3542.005615
1996.896484	3562.518311
1995.595703	3588.784180
1994.292969	3503.690674
1992.990234	3564.508301
1991.687500	3402.681396
1990.384766	3538.329834
1989.082031	3476.325439
1987.779297	3498.741699
1986.474609	3452.107910
1985.171875	3518.623047
1983.867188	3427.906738
1982.562500	3459.899414
1981.257813	3518.712158
1979.953125	3518.103027
1978.648438	3481.092529
1977.343750	3472.827637
1976.039063	3451.159180
1974.732422	3412.264404
1973.427734	3476.767090
1972.121094	3518.276855
1970.814453	3481.303955
1969.507813	3541.933594
1968.201172	3503.056152
1966.894531	3473.756348
1965.587891	3429.166016
1964.279297	3462.991455
1962.972656	3326.648682
1961.664063	3469.437256
1960.355469	3442.079102
1959.048828	3407.086670
1957.740234	3481.007080
1956.431641	3493.775146
1955.121094	3369.027100
1953.812500	3486.834961
1952.503906	3404.134033
1951.193359	3502.805664
1949.882813	3345.696777
1948.574219	3350.841064
1947.263672	3430.391602
1945.953125	3389.737549
1944.642578	3373.891846
1943.330078	3468.651367
1942.019531	3407.039551
1940.707031	3377.854736
1939.396484	3445.881348
1938.083984	3412.888428
1936.771484	3391.338379
1935.458984	3425.038330
1934.146484	3386.352295
1932.833984	3361.009033
1931.521484	3442.294434
1930.207031	3380.781738
1928.894531	3477.261230
1927.580078	3322.520020
1926.265625	3363.800293
1924.953125	3393.652588
1923.638672	3355.024414
1922.322266	3396.277100
1921.007813	3382.378418
1919.693359	3370.385010
1918.376953	3400.209473
1917.062500	3348.311035
1915.746094	3309.730225
1914.429688	3345.248047
1913.113281	3356.062744
1911.796875	3344.085693
1910.480469	3294.139893
1909.164063	3318.245361
1907.847656	3389.791992
1906.529297	3328.478027
1905.210938	3363.948486
1903.894531	3333.011963
1902.576172	3374.158936
1901.257813	3352.712646
1899.939453	3361.609863
1898.619141	3307.946533
1897.300781	3244.824951
1895.982422	3323.851074
1894.662109	3344.114502
1893.341797	3407.940918
1892.023438	3356.209473
1890.703125	3295.027588
1889.382813	3313.387939
1888.060547	3386.639893
1886.740234	3427.690186
1885.419922	3321.120605
1884.097656	3301.622314
1882.777344	3340.773682
1881.455078	3300.473145
1880.132813	3258.295410
1878.810547	3333.357666
1877.488281	3334.667725
1876.166016	3364.328369
1874.841797	3210.673584
1873.519531	3306.474609
1872.195313	3243.559082
1870.873047	3203.330322
1869.548828	3274.532715
1868.224609	3321.165039
1866.900391	3311.147705
1865.576172	3350.207275
1864.250000	3387.365967
1862.925781	3241.493652
1861.599609	3327.705811
1860.275391	3270.542236
1858.949219	3283.172852
1857.623047	3235.464111
1856.296875	3210.393555
1854.970703	3264.493652
1853.644531	3311.036621
1852.316406	3182.337158
1850.990234	3328.720947
1849.662109	3269.752197
1848.335938	3272.948486
1847.007813	3264.846436
1845.679688	3243.569580
1844.351563	3216.653564
1843.023438	3255.611572
1841.693359	3253.162354
1840.365234	3166.059814
1839.035156	3110.962158
1837.707031	3249.579834
1836.376953	3230.210938
1835.046875	3173.250732
1833.716797	3199.010986
1832.386719	3266.105225
